#000000,#000055,#0000AA,#0000FF,#005500,#005555,#0055AA,#0055FF,#00AA00,#00AA55,#00AAAA,#00AAFF,#00FF00,#00FF55,#00FFAA,#00FFFF,#550000,#550055,#5500AA,#5500FF,#555500,#555555,#5555AA,#5555FF,#55AA00,#55AA55,#55AAAA,#55AAFF,#55FF00,#55FF55,#55FFAA,#55FFFF,#AA0000,#AA0055,#AA00AA,#AA00FF,#AA5500,#AA5555,#AA55AA,#AA55FF,#AAAA00,#AAAA55,#AAAAAA,#AAAAFF,#AAFF00,#AAFF55,#AAFFAA,#AAFFFF,#FF0000,#FF0055,#FF00AA,#FF00FF,#FF5500,#FF5555,#FF55AA,#FF55FF,#FFAA00,#FFAA55,#FFAAAA,#FFAAFF,#FFFF00,#FFFF55,#FFFFAA,#FFFFFF,Mean,Variance,Entropy,Contrast,Homogeneity,Correlation,Energy,huMoment 1,huMoment 2,huMoment 3,huMoment 4,huMoment 5,huMoment 6,huMoment 7,Area,Perimeter,Label
1527.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34188034188034,605.2713962201142,4.239869087110423,930.9472329472326,0.6396555060172757,0.22721868869527417,0.2694754507612233,0.4963993347052031,1.2089672207462643,2.051671495028955,3.0220389602242856,-5.625241330198776,-3.6676607348791164,5.848689807883502,664.5,133.98275518417358,Grape
1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,5.0,0.0,0.0,72.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3892.0,67.0,0.0,0.0,402.0,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,32.0,338.0,0.0,0.0,0.0,0.0,0.0,100.89440476190477,2474.720873455215,5.809774767927078,880.4606413994163,0.2649673237540112,0.816581333827693,0.20101069812438888,0.5311144622415828,2.7054096420566123,4.221772725366239,2.6882144722406034,-6.628690433037812,4.568340271874682,-6.167761472097967,4732.5,622.4335454702377,Lychee
795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1464.0,13.0,0.0,0.0,281.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,632.0,0.0,0.0,0.0,0.0,0.0,115.49815789473685,2712.441049238227,5.662729894919641,984.5875000000005,0.2506492156749956,0.8095956620676836,0.17027902392148708,-0.043261034655472444,0.023386092706421547,0.7502560090919752,1.568930574038134,-2.9003051490491822,-1.683867935418865,2.8596707705192737,1126.0,286.02438497543335,Lychee
2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.0,31.0,0.0,0.0,14.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2916.0,53.0,0.0,0.0,607.0,1136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0,1272.0,0.0,0.0,0.0,0.0,0.0,108.11,2863.4503999999997,5.9909063931388475,883.306395348837,0.2548224173667402,0.8396289094360765,0.18455752268042108,0.3086688615532623,2.3579332446094834,3.033850117781888,2.0421373084138716,-4.912904663003349,3.8264394575539318,4.632972847712496,3663.0,615.1614668369293,Lychee
1176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,298.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,338.0,0.0,0.0,0.0,2042.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,105.51295454545455,3002.058013997934,5.535171434156725,742.7252380952377,0.36474530184062504,0.8743394060462222,0.23771755759347804,0.009794623036840271,0.19259164522128316,0.7126193864034067,1.5302876455123011,-2.798723194573518,-1.6812819228759068,2.805847557036839,1266.0,299.2792181968689,Pear
3269.0,8.0,0.0,0.0,200.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1870.0,1026.0,2.0,0.0,3.0,138.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,54.0,0.0,0.0,3.0,3159.0,232.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.9536,2524.6360470400004,5.846551657120479,633.630204081633,0.3469455728055253,0.8726284018981562,0.24212611851637356,0.018987836550230085,0.21374078801132296,0.7522204677798496,1.5820928103048992,-2.8679875824577143,-1.7586260528356836,2.93700197791404,1303.0,296.93607342243195,Limes
659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,193.0,157.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1429.0,21.0,0.0,0.0,0.0,0.0,0.0,128.36360153256706,4050.470475917852,4.841013875303556,846.8973536487572,0.41731058512651564,0.8933861066633956,0.22545779439631092,0.2903641020550362,0.7274808493207464,1.3037350779436447,2.0761566434612666,5.479372085348609,-2.9046235726246667,3.766183842725559,718.0,173.88224983215332,Lemon
4377.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,124.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.24065217391304,441.62317348771256,3.836746592866277,703.0765909090908,0.6560404664206064,0.17565802884562956,0.26354303794871825,0.43210657040060596,1.037334648693196,1.8418859427821603,2.6792768531573863,-5.95194781477481,-3.5563565450444847,4.941921906676009,780.0,157.05382323265076,Grape
652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201.0,150.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,1419.0,22.0,0.0,0.0,0.0,0.0,0.0,128.60996168582375,4012.362812642211,4.855896396987625,820.190457097033,0.41422054060818414,0.895795477641465,0.22350151300934915,0.2907031207634774,0.7294955887102184,1.2932483433846296,2.048697721149155,4.732243861703822,-2.9492121921912653,3.7217297968863976,715.0,172.71067678928375,Lemon
1055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,2.0,0.0,0.0,230.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,1088.0,1948.0,0.0,0.0,0.0,93.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,85.38241379310345,1410.8385872770511,5.996219674111009,658.4553571428573,0.27005625959081336,0.7601315518436477,0.15400250958729111,0.26817373131848454,0.7562692413562343,1.0901892659394936,1.4701852814985594,2.791730008408093,1.9898532444392787,3.1308234427500636,1806.5,369.237588763237,Apple
2197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,115.0,238.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210.0,0.0,0.0,1.0,1949.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.09884201819686,3358.2396099080447,4.266158945233982,702.3711538461541,0.5582326473521345,0.8955470376568356,0.43513232562806387,0.28067853230014495,1.2689978173034437,0.9888431082437583,1.8213268138332364,-3.2283548889744127,-2.4590350032643986,-4.251510613356412,1468.0,302.2497820854187,Pear
475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,74.0,0.0,0.0,28.0,1712.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,10.0,0.0,0.0,0.0,0.0,0.0,125.62994696042432,2811.5362553623436,5.125056198359239,884.1891313649977,0.4357994664376066,0.8348689579915033,0.16855283875868474,0.2652545580205248,0.7301017941089825,1.0256912667876241,1.681915638452,3.409210750270399,-4.94554290442002,3.0785653567174625,652.5,172.8111822605133,Lemon
572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,279.0,0.0,0.0,0.0,225.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,864.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,0.0,0.0,0.0,0.0,0.0,111.92977777777777,3256.0768466172844,5.568076684480438,1070.4986111111111,0.3134691578377177,0.8327985862369246,0.22263994304410675,0.33973312383346993,0.8717368822411902,1.4587061335215827,2.308904462884245,-4.395923476237637,-2.8616559178068925,-4.300850380998413,700.5,169.63960933685303,Limes
3106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,895.0,401.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,404.0,0.0,0.0,0.0,2636.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.8748717948718,2786.2584454963844,5.2652718255739455,693.5217163788585,0.4454674674420885,0.8749056447793434,0.32461152405525334,0.19083701725795996,1.847417062320788,1.872391264026323,2.288619908376766,-4.384595344427794,3.2186949298981644,-4.950448609533403,2506.5,526.7178173065186,Pear
1243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,720.0,0.0,0.0,32.0,2285.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,104.03244897959183,2674.787314410662,5.355777928352493,632.8477717617658,0.4068164178820317,0.8781786503560302,0.22731421707279517,0.0994748568388562,0.45131381252153124,0.9622191273582242,1.4208009870459626,2.7432531628916097,2.2415013491330686,-2.784339512380452,1647.5,335.37972354888916,Lemon
